x,y,z,u,v,w
1891.061334245067,-668.5137868959824,428.9368166840156,2.7786532110340194,-19.149306385392,-51.23654294629387
2063.577867264642,-747.762678932599,476.0653321786022,-51.16692061596056,-32.48819739808271,-25.958736903267887
1713.2118545490684,-600.532334083243,391.55576222942454,-71.87603082234038,11.606643665603452,-19.990295513716845
1780.0055656636778,-620.5387355524572,407.61977238563986,2.9131672518760765,-93.06013361814945,22.289553319334146
2125.944552470557,-742.1288554527779,474.92353374524083,-8.645785276129065,-61.2235090643926,-3.5494788068881102
1743.272808475851,-622.8727074624575,398.36730602202584,-55.24528437480412,-8.247717744910975,18.093568882586467
1965.9327751116007,-689.6835778065831,439.6789207455741,31.191742723346046,-86.20194502185443,-13.669209290180978
2170.1837437653076,-770.7319245213022,485.2310008416118,-68.14039986081319,-48.48132940383235,-0.07172174085554778
1989.0578837553985,-701.750647560142,449.63467117957805,-156.0095459187004,-82.46341862148279,-21.180223764328517
2130.407648047041,-751.8459226429541,479.87471967583934,-55.33080885360313,-59.484520306771714,-0.1254943477899195
2071.5451540079303,-756.06013787747,473.7607067386028,8.796823712576094,-56.88087703830962,-13.834092281104283
2342.69264461929,-830.7980386354428,523.3659522645326,-38.94121355352985,-29.852686899334223,4.479387935730811
2309.2171614765493,-816.12507105247,529.0568633040796,-69.1403555716513,-81.74560053843905,-28.18128352375321
2216.427451224349,-795.2127620109278,503.7265337072274,39.66776704184755,-77.0380970471825,-17.704422030702005
2078.229628985874,-727.7828929314745,474.9953746103617,-25.22963550050946,-139.49157135862114,52.80798924117701
2383.5243954110065,-864.0709291607536,548.5739648185024,-15.824679998498517,-26.246359064856915,-42.632713698718355
2063.493491217454,-733.5207522353853,468.3592400453738,-82.85925872792555,-49.841668976723696,39.140220314085894
1837.985675641161,-665.920357532086,425.93777747947223,-42.29044017856785,-73.0890982919203,5.371637416161418
1817.6232202403198,-641.768292397741,407.2118168809039,-18.857393843536318,-6.470298443390285,-3.565068549957798
2370.55923460331,-824.8035219389369,544.2449617114416,-59.34837232834618,-206.75537604722345,59.2333953171177
1949.4816919089826,-86.299087150021,306.2780495367167,-29.16444620554812,-14.280189130788882,-4.616369551001158
2116.8711039650243,-77.78859537139621,328.2324545423153,100.84907325718825,-74.73458143908297,-27.62159402005904
2032.9600810571383,-93.49744758760653,319.8949814843026,-59.50969672909865,-84.76041159649174,9.062605938876192
2234.835029555059,-106.59837661683844,359.4737766988199,-8.03573200169859,13.752575685166477,-94.3731909375175
2544.385818602492,-112.62753715668951,408.806404176863,50.45011328229625,38.27268274146573,31.940456804512714
1872.4384936433244,-86.89722117226549,300.5877554749548,-27.189834108192553,-38.454570880956055,-60.11426878992057
2326.445652948989,-102.12691128677302,366.0062232699764,-96.17368113698072,21.529216947354445,-21.38159814017568
2023.3179282489918,-324.45642791366265,170.89964163086378,-26.368037788072204,-45.45510648528478,-6.114116546831402
1855.4129049359572,-224.22318421312298,199.45436954107234,-57.05422578378709,15.947788141269738,-11.984547820126519
1900.9239081218984,-233.72107386478598,203.4413418469936,1.4504691636166707,-9.223324725807757,-9.932739240206828
2011.1552474868286,-315.3760570936314,163.52546187271864,-38.54547339181358,-34.570419542373806,-1.5419125415775683
2173.053017944111,-349.386890035365,178.1717193179566,-74.38480226938027,-25.314335800381407,10.317112625090553
1862.4714755463037,-225.76907668290863,196.8300030087916,3.853661948583946,-26.800697889646884,-18.063534616705567
2055.520596907827,-333.0575379555709,170.08032892835502,32.76444919718892,10.585488870587975,-28.028250823966705
2437.524404393119,-389.6487857510351,205.27298920574154,-82.71324406374558,-35.46749823216343,64.95315198783936
2193.092111760273,-268.25587462994355,232.09899448169256,-167.1144198570969,-13.130918475642186,-9.911383138702691
2360.0994164924014,-270.7414378675992,236.01778373647753,-48.687531441618745,-71.61770653499852,-12.560799536878038
2463.333235125966,-291.02588099353454,256.84771995468117,16.82237370166626,-34.535167256433944,-90.33482486228674
2240.9975973171186,-260.9362950267354,223.18241120412586,-90.66704980772029,-27.640179851243378,-5.558416834930242
1820.6516983624015,-297.0227381910709,150.98958988406082,-5.554159468136925,-82.10003963070679,-36.67061462351538
1912.3012336480224,-309.62994908853113,157.1640604346195,-42.384292164518826,-48.89895542746148,2.951918271486443
1824.9264647403324,-215.5239231213405,194.56639506852315,-37.41401420428352,-46.70540262712465,12.951821613098781
2375.8895443243036,-289.71297756336133,254.0046380823679,-72.78010221791105,-17.4180215560343,12.352227094344407
1923.0356893471308,-229.73416488749245,201.18386439952033,-1.362659732535526,-87.11488157050611,-54.88989433086101
2220.9672675481797,-362.4509509986156,184.15461201996536,64.6846061682731,-70.23653516421571,-75.08882216371443
2111.1798328895075,-340.99900612770557,178.58135720816492,-66.05101275180174,-18.74185721061322,-53.06150038513098
1788.5165806637942,-290.81398287304563,153.26707556245424,-92.44241624618732,-14.597044450153275,-11.883295070331256
1861.5777403000611,-228.32022634416754,200.1050074657334,-16.34435173120039,37.31452745551777,-34.69117081765012
1804.1410155933645,-117.8939581492323,307.96597395320896,100.36647444169465,-21.06583043711245,58.83697767383822
2240.164180401918,-148.60041214093857,386.892341275878,-10.99207230864297,-104.9334448252491,-81.55748404062902
1941.3075605280492,-464.6602361727092,204.4363600399295,-4.921367745059471,-13.042809341348443,-18.39459611619046
2365.2964671725304,-548.8908347807374,240.33175670830565,-75.21781759700603,-34.59555732429079,-61.87729673572536
1871.5481334755932,-446.11202619482725,197.64502875283424,-67.3750533292419,13.368535385380005,-25.22186389622174
2426.12409543972,-567.3805327097756,230.01078216878375,-63.22631695520892,-87.10365441591081,-25.037460335802336
2216.7878401738453,-144.54201631136974,376.5941482465557,-85.57034005203977,-42.64107979491359,-7.948426139926029
2383.9579116251844,-572.5313126541037,248.9981252111873,-12.505710611948391,-74.36872517430005,24.248191644752442
2152.1097924259975,-492.98095418807117,219.98151468836312,-28.686758407602117,15.89474917374731,-18.276449178580464
2339.5215689545857,-157.84036401976797,403.4300304041535,-52.43690431434076,31.736526145712826,11.672890213544479
2460.7256257032814,-579.0038843327983,239.57390917494772,20.068152039124396,-26.31996120704101,-39.29824110616475
2506.614955834124,-166.98192337399718,427.529210220465,-56.15549941826608,12.774894663663726,93.89974359258281
2073.6392304290566,-480.3839612443682,200.0259081592629,-139.0050162263963,-43.39096126718124,-0.9155103457545484
1813.7423481860951,-420.54565269055456,173.12587874013755,22.86879659602585,12.638522362329995,-25.685339596771556
